symbol,provider
PETR4,mt5
MSFT,YF
META,YF
VALE3,metastock
12-CDI,BCB
432-SELIC,BCB
433-IPCA,BCB
IVV,YF
QQQ,YF
MTUM,YF
IJR,YF
IWF,YF
IVW,YF
VGT,YF
IXN,YF
SPY,YF
